#           k/h    P           
   0.999613E-05   0.104958E+02
   0.110373E-04   0.115432E+02
   0.121870E-04   0.126951E+02
   0.134564E-04   0.139620E+02
   0.148580E-04   0.153553E+02
   0.164057E-04   0.168876E+02
   0.181145E-04   0.185729E+02
   0.200013E-04   0.204263E+02
   0.220847E-04   0.224647E+02
   0.243850E-04   0.247064E+02
   0.269250E-04   0.271719E+02
   0.297295E-04   0.298833E+02
   0.328261E-04   0.328653E+02
   0.362453E-04   0.361449E+02
   0.400207E-04   0.397516E+02
   0.441893E-04   0.437182E+02
   0.487921E-04   0.480805E+02
   0.538743E-04   0.528779E+02
   0.594859E-04   0.581539E+02
   0.656819E-04   0.639561E+02
   0.725234E-04   0.703369E+02
   0.800775E-04   0.773540E+02
   0.884185E-04   0.850706E+02
   0.976282E-04   0.935563E+02
   0.107797E-03   0.102887E+03
   0.119025E-03   0.113148E+03
   0.131423E-03   0.124431E+03
   0.145112E-03   0.136836E+03
   0.160227E-03   0.150475E+03
   0.176917E-03   0.165469E+03
   0.195345E-03   0.181953E+03
   0.215692E-03   0.200072E+03
   0.238159E-03   0.219985E+03
   0.262965E-03   0.241869E+03
   0.290356E-03   0.265913E+03
   0.320600E-03   0.292325E+03
   0.353994E-03   0.321332E+03
   0.390866E-03   0.353179E+03
   0.431579E-03   0.388133E+03
   0.476532E-03   0.426480E+03
   0.526168E-03   0.468528E+03
   0.580974E-03   0.514611E+03
   0.641489E-03   0.565079E+03
   0.708307E-03   0.620310E+03
   0.782085E-03   0.680700E+03
   0.863548E-03   0.746664E+03
   0.953495E-03   0.818637E+03
   0.105281E-02   0.897070E+03
   0.116247E-02   0.982425E+03
   0.128356E-02   0.107517E+04
   0.141725E-02   0.117578E+04
   0.156488E-02   0.128470E+04
   0.172788E-02   0.140237E+04
   0.190785E-02   0.152919E+04
   0.210658E-02   0.166548E+04
   0.232600E-02   0.181150E+04
   0.256828E-02   0.196739E+04
   0.283579E-02   0.213319E+04
   0.313117E-02   0.230874E+04
   0.345731E-02   0.249371E+04
   0.381743E-02   0.268754E+04
   0.421506E-02   0.288938E+04
   0.465410E-02   0.309805E+04
   0.513887E-02   0.331203E+04
   0.567414E-02   0.352936E+04
   0.626517E-02   0.374765E+04
   0.691775E-02   0.396397E+04
   0.763831E-02   0.417483E+04
   0.843392E-02   0.437619E+04
   0.931241E-02   0.456334E+04
   0.102824E-01   0.473098E+04
   0.113534E-01   0.487320E+04
   0.125360E-01   0.498361E+04
   0.138418E-01   0.505548E+04
   0.152835E-01   0.508208E+04
   0.168755E-01   0.507305E+04
   0.186332E-01   0.499463E+04
   0.205741E-01   0.485676E+04
   0.227171E-01   0.464688E+04
   0.250833E-01   0.439194E+04
   0.276960E-01   0.409837E+04
   0.305809E-01   0.376701E+04
   0.337662E-01   0.342050E+04
   0.372833E-01   0.308759E+04
   0.411668E-01   0.278660E+04
   0.452834E-01   0.254022E+04
   0.494001E-01   0.236200E+04
   0.535168E-01   0.222822E+04
   0.576335E-01   0.211981E+04
   0.617501E-01   0.201929E+04
   0.658668E-01   0.191468E+04
   0.699835E-01   0.179918E+04
   0.741002E-01   0.167782E+04
   0.782168E-01   0.154312E+04
   0.823335E-01   0.140815E+04
   0.864502E-01   0.128075E+04
   0.915834E-01   0.114207E+04
   0.967165E-01   0.103261E+04
   0.101850E+00   0.953358E+03
   0.106983E+00   0.899042E+03
   0.112116E+00   0.860767E+03
   0.117249E+00   0.829071E+03
   0.122382E+00   0.795973E+03
   0.127516E+00   0.756479E+03
   0.132649E+00   0.709615E+03
   0.137782E+00   0.657845E+03
   0.142915E+00   0.605217E+03
   0.148048E+00   0.555952E+03
   0.153181E+00   0.513662E+03
   0.158315E+00   0.480365E+03
   0.163448E+00   0.455754E+03
   0.168581E+00   0.437695E+03
   0.173714E+00   0.423481E+03
   0.178847E+00   0.410584E+03
   0.183981E+00   0.396828E+03
   0.189114E+00   0.380751E+03
   0.194247E+00   0.362143E+03
   0.199380E+00   0.341991E+03
   0.204513E+00   0.321757E+03
   0.209646E+00   0.302775E+03
