#           k/h    P           
   0.214780E+00   0.286036E+03
   0.219913E+00   0.272080E+03
   0.225046E+00   0.260889E+03
   0.230179E+00   0.251923E+03
   0.235312E+00   0.244347E+03
   0.240446E+00   0.237288E+03
   0.245579E+00   0.230020E+03
   0.250712E+00   0.222115E+03
   0.255845E+00   0.213519E+03
   0.260978E+00   0.204488E+03
   0.266111E+00   0.195436E+03
   0.271245E+00   0.186788E+03
   0.276378E+00   0.178885E+03
   0.281511E+00   0.171924E+03
   0.286644E+00   0.165925E+03
   0.291777E+00   0.160742E+03
   0.296910E+00   0.156117E+03
   0.302044E+00   0.151769E+03
   0.307177E+00   0.147467E+03
   0.312310E+00   0.143067E+03
   0.317443E+00   0.138522E+03
   0.322576E+00   0.133872E+03
   0.327710E+00   0.129232E+03
   0.332843E+00   0.124747E+03
   0.337976E+00   0.120537E+03
   0.343109E+00   0.116664E+03
   0.348242E+00   0.113134E+03
   0.353375E+00   0.109917E+03
   0.358509E+00   0.106954E+03
   0.363642E+00   0.104158E+03
   0.368775E+00   0.101443E+03
   0.373908E+00   0.987504E+02
   0.379041E+00   0.960587E+02
   0.384174E+00   0.933741E+02
   0.389308E+00   0.907215E+02
   0.394441E+00   0.881363E+02
   0.399574E+00   0.856571E+02
   0.404707E+00   0.833107E+02
   0.409840E+00   0.811054E+02
   0.414974E+00   0.790339E+02
   0.420107E+00   0.770787E+02
   0.425240E+00   0.752162E+02
   0.430373E+00   0.734196E+02
   0.435506E+00   0.716664E+02
   0.440639E+00   0.699437E+02
   0.445773E+00   0.682488E+02
   0.450906E+00   0.665859E+02
   0.456039E+00   0.649627E+02
   0.461172E+00   0.633898E+02
   0.466305E+00   0.618772E+02
   0.471439E+00   0.604297E+02
   0.476572E+00   0.590450E+02
   0.481705E+00   0.577177E+02
   0.486838E+00   0.564419E+02
   0.491971E+00   0.552107E+02
   0.497104E+00   0.540151E+02
   0.502238E+00   0.528475E+02
   0.507371E+00   0.517056E+02
   0.512504E+00   0.505905E+02
   0.517637E+00   0.495035E+02
   0.522770E+00   0.484451E+02
   0.527903E+00   0.474177E+02
   0.533037E+00   0.464243E+02
   0.538170E+00   0.454652E+02
   0.543303E+00   0.445379E+02
   0.548436E+00   0.436396E+02
   0.553569E+00   0.427687E+02
   0.558703E+00   0.419231E+02
   0.563836E+00   0.410996E+02
   0.568969E+00   0.402955E+02
   0.574102E+00   0.395106E+02
   0.579235E+00   0.387453E+02
   0.584368E+00   0.379995E+02
   0.589502E+00   0.372726E+02
   0.594635E+00   0.365650E+02
   0.599768E+00   0.358778E+02
   0.618797E+00   0.334929E+02
   0.639771E+00   0.311111E+02
   0.661456E+00   0.288857E+02
   0.683876E+00   0.268154E+02
   0.707056E+00   0.248864E+02
   0.731022E+00   0.230889E+02
   0.755800E+00   0.214166E+02
   0.781418E+00   0.198594E+02
   0.807904E+00   0.184106E+02
   0.835288E+00   0.170631E+02
   0.863600E+00   0.158103E+02
   0.892872E+00   0.146461E+02
   0.923137E+00   0.135641E+02
   0.954426E+00   0.125593E+02
   0.986777E+00   0.116259E+02
   0.102022E+01   0.107595E+02
   0.105480E+01   0.995519E+01
   0.109056E+01   0.920909E+01
   0.112752E+01   0.851693E+01
   0.116574E+01   0.787514E+01
   0.120525E+01   0.728020E+01
   0.124610E+01   0.672876E+01
   0.128834E+01   0.621773E+01
   0.133201E+01   0.574431E+01
   0.137716E+01   0.530587E+01
   0.142384E+01   0.489993E+01
   0.147210E+01   0.452416E+01
   0.152200E+01   0.417638E+01
   0.157358E+01   0.385462E+01
   0.162692E+01   0.355697E+01
   0.168206E+01   0.328172E+01
   0.173908E+01   0.302718E+01
   0.179802E+01   0.279187E+01
   0.185897E+01   0.257443E+01
   0.192198E+01   0.237351E+01
   0.198712E+01   0.218788E+01
   0.205448E+01   0.201643E+01
   0.212411E+01   0.185810E+01
   0.219611E+01   0.171193E+01
   0.227055E+01   0.157699E+01
   0.234751E+01   0.145245E+01
   0.242708E+01   0.133755E+01
   0.250935E+01   0.123154E+01
   0.259440E+01   0.113376E+01
   0.268234E+01   0.104358E+01
   0.277325E+01   0.960429E+00
   0.286726E+01   0.883772E+00
   0.296444E+01   0.813123E+00
   0.306492E+01   0.748005E+00
   0.316881E+01   0.688011E+00
   0.327621E+01   0.632737E+00
   0.338726E+01   0.581824E+00
   0.350207E+01   0.534935E+00
   0.362078E+01   0.491762E+00
   0.374350E+01   0.452011E+00
   0.387039E+01   0.415419E+00
   0.400158E+01   0.381740E+00
   0.413721E+01   0.350748E+00
   0.427744E+01   0.322233E+00
   0.442243E+01   0.295997E+00
   0.457232E+01   0.271864E+00
   0.472730E+01   0.249669E+00
   0.488754E+01   0.229260E+00
   0.505320E+01   0.210493E+00
   0.522448E+01   0.193241E+00
   0.540156E+01   0.177381E+00
   0.558465E+01   0.162806E+00
   0.577394E+01   0.149411E+00
   0.596965E+01   0.137103E+00
   0.617199E+01   0.125795E+00
   0.638120E+01   0.115407E+00
   0.659748E+01   0.105866E+00
   0.682111E+01   0.971036E-01
   0.705231E+01   0.890572E-01
   0.729135E+01   0.816692E-01
   0.753849E+01   0.748865E-01
   0.779401E+01   0.686602E-01
   0.805818E+01   0.629452E-01
   0.833132E+01   0.577005E-01
   0.861371E+01   0.528877E-01
   0.890567E+01   0.484714E-01
   0.920753E+01   0.444200E-01
   0.951962E+01   0.407032E-01
   0.984229E+01   0.372939E-01
   0.101759E+02   0.341672E-01
   0.105208E+02   0.312998E-01
   0.108774E+02   0.286703E-01
   0.112461E+02   0.262595E-01
   0.116273E+02   0.240494E-01
   0.120214E+02   0.220233E-01
   0.124289E+02   0.201661E-01
   0.128501E+02   0.184640E-01
   0.132857E+02   0.169041E-01
   0.137360E+02   0.154747E-01
   0.142016E+02   0.141651E-01
   0.146830E+02   0.129652E-01
   0.151807E+02   0.118659E-01
   0.156952E+02   0.108591E-01
   0.162272E+02   0.993678E-02
   0.167772E+02   0.909214E-02
   0.173459E+02   0.831864E-02
   0.179338E+02   0.761035E-02
   0.185417E+02   0.696183E-02
   0.191702E+02   0.636811E-02
   0.198199E+02   0.582455E-02
   0.204917E+02   0.532698E-02
   0.211863E+02   0.487154E-02
   0.219044E+02   0.445474E-02
   0.226469E+02   0.407327E-02
   0.234145E+02   0.372420E-02
   0.242081E+02   0.340479E-02
   0.250287E+02   0.311251E-02
   0.258770E+02   0.284515E-02
   0.267541E+02   0.260055E-02
   0.276610E+02   0.237682E-02
   0.285985E+02   0.217217E-02
   0.295679E+02   0.198500E-02
   0.305701E+02   0.181382E-02
   0.316063E+02   0.165728E-02
   0.326776E+02   0.151414E-02
   0.337852E+02   0.138326E-02
   0.349303E+02   0.126360E-02
   0.361143E+02   0.115421E-02
   0.373384E+02   0.105421E-02
   0.386040E+02   0.962798E-03
   0.399125E+02   0.879244E-03
   0.412653E+02   0.802882E-03
   0.426640E+02   0.733097E-03
   0.441101E+02   0.669325E-03
   0.456052E+02   0.611053E-03
   0.471510E+02   0.557809E-03
   0.487492E+02   0.509164E-03
   0.504016E+02   0.464720E-03
   0.521099E+02   0.424124E-03
   0.538762E+02   0.387038E-03
   0.557023E+02   0.353165E-03
   0.575904E+02   0.322228E-03
   0.595424E+02   0.293975E-03
   0.615606E+02   0.268172E-03
   0.636472E+02   0.244613E-03
   0.658045E+02   0.223100E-03
   0.680350E+02   0.203460E-03
   0.703410E+02   0.185528E-03
   0.727253E+02   0.169159E-03
   0.751903E+02   0.154218E-03
   0.777389E+02   0.140580E-03
   0.803738E+02   0.128133E-03
   0.830981E+02   0.116774E-03
   0.859147E+02   0.106408E-03
   0.888267E+02   0.969497E-04
   0.918377E+02   0.883201E-04
   0.949505E+02   0.804465E-04
   0.981688E+02   0.732648E-04
   0.101496E+03   0.667135E-04
   0.104937E+03   0.607378E-04
   0.108493E+03   0.552887E-04
   0.112171E+03   0.503191E-04
   0.115973E+03   0.457878E-04
   0.119904E+03   0.416568E-04
   0.123968E+03   0.378906E-04
   0.128170E+03   0.344579E-04
   0.132514E+03   0.313287E-04
   0.137006E+03   0.284777E-04
   0.141649E+03   0.258793E-04
   0.146451E+03   0.235124E-04
   0.151415E+03   0.213558E-04
   0.156547E+03   0.193918E-04
   0.161853E+03   0.176033E-04
   0.167339E+03   0.159747E-04
   0.173011E+03   0.144920E-04
   0.178875E+03   0.131426E-04
   0.184938E+03   0.119145E-04
   0.191207E+03   0.107972E-04
   0.197688E+03   0.978088E-05
   0.204388E+03   0.885656E-05
