#           k/h    P           
   0.999613E-05   0.574604E+02
   0.110373E-04   0.631945E+02
   0.121870E-04   0.695009E+02
   0.134564E-04   0.764365E+02
   0.148580E-04   0.840642E+02
   0.164057E-04   0.924532E+02
   0.181145E-04   0.101679E+03
   0.200013E-04   0.111826E+03
   0.220847E-04   0.122985E+03
   0.243850E-04   0.135258E+03
   0.269250E-04   0.148755E+03
   0.297295E-04   0.163599E+03
   0.328261E-04   0.179924E+03
   0.362453E-04   0.197878E+03
   0.400207E-04   0.217623E+03
   0.441893E-04   0.239338E+03
   0.487921E-04   0.263219E+03
   0.538743E-04   0.289482E+03
   0.594859E-04   0.318364E+03
   0.656819E-04   0.350127E+03
   0.725234E-04   0.385057E+03
   0.800775E-04   0.423469E+03
   0.884185E-04   0.465710E+03
   0.976282E-04   0.512160E+03
   0.107797E-03   0.563236E+03
   0.119025E-03   0.619399E+03
   0.131423E-03   0.681150E+03
   0.145112E-03   0.749044E+03
   0.160227E-03   0.823687E+03
   0.176917E-03   0.905742E+03
   0.195345E-03   0.995937E+03
   0.215692E-03   0.109507E+04
   0.238159E-03   0.120401E+04
   0.262965E-03   0.132371E+04
   0.290356E-03   0.145520E+04
   0.320600E-03   0.159962E+04
   0.353994E-03   0.175820E+04
   0.390866E-03   0.193225E+04
   0.431579E-03   0.212324E+04
   0.476532E-03   0.233270E+04
   0.526168E-03   0.256232E+04
   0.580974E-03   0.281390E+04
   0.641489E-03   0.308935E+04
   0.708307E-03   0.339073E+04
   0.782085E-03   0.372020E+04
   0.863548E-03   0.408005E+04
   0.953495E-03   0.447269E+04
   0.105281E-02   0.490059E+04
   0.116247E-02   0.536629E+04
   0.128356E-02   0.587237E+04
   0.141725E-02   0.642140E+04
   0.156488E-02   0.701585E+04
   0.172788E-02   0.765809E+04
   0.190785E-02   0.835025E+04
   0.210658E-02   0.909414E+04
   0.232600E-02   0.989115E+04
   0.256828E-02   0.107421E+05
   0.283579E-02   0.116471E+05
   0.313117E-02   0.126054E+05
   0.345731E-02   0.136151E+05
   0.381743E-02   0.146732E+05
   0.421506E-02   0.157750E+05
   0.465410E-02   0.169141E+05
   0.513887E-02   0.180822E+05
   0.567414E-02   0.192687E+05
   0.626517E-02   0.204603E+05
   0.691775E-02   0.216412E+05
   0.763831E-02   0.227924E+05
   0.843392E-02   0.238916E+05
   0.931241E-02   0.249133E+05
   0.102824E-01   0.258285E+05
   0.113534E-01   0.266049E+05
   0.125360E-01   0.272076E+05
   0.138418E-01   0.275999E+05
   0.152835E-01   0.277451E+05
   0.168755E-01   0.276958E+05
   0.186332E-01   0.272677E+05
   0.205741E-01   0.265150E+05
   0.227171E-01   0.253692E+05
   0.250833E-01   0.239774E+05
   0.276960E-01   0.223746E+05
   0.305809E-01   0.205656E+05
   0.337662E-01   0.186738E+05
   0.372833E-01   0.168564E+05
   0.411668E-01   0.152131E+05
   0.452834E-01   0.138681E+05
   0.494001E-01   0.128951E+05
   0.535168E-01   0.121647E+05
   0.576335E-01   0.115729E+05
   0.617501E-01   0.110241E+05
   0.658668E-01   0.104530E+05
   0.699835E-01   0.982240E+04
   0.741002E-01   0.915985E+04
   0.782168E-01   0.842451E+04
   0.823335E-01   0.768766E+04
   0.864502E-01   0.699212E+04
   0.915834E-01   0.623502E+04
   0.967165E-01   0.563744E+04
   0.101850E+00   0.520475E+04
   0.106983E+00   0.490822E+04
   0.112116E+00   0.469926E+04
   0.117249E+00   0.452622E+04
   0.122382E+00   0.434552E+04
   0.127516E+00   0.412991E+04
   0.132649E+00   0.387407E+04
   0.137782E+00   0.359143E+04
   0.142915E+00   0.330412E+04
   0.148048E+00   0.303516E+04
   0.153181E+00   0.280428E+04
   0.158315E+00   0.262250E+04
   0.163448E+00   0.248814E+04
   0.168581E+00   0.238955E+04
   0.173714E+00   0.231194E+04
   0.178847E+00   0.224154E+04
   0.183981E+00   0.216644E+04
   0.189114E+00   0.207867E+04
   0.194247E+00   0.197708E+04
   0.199380E+00   0.186706E+04
   0.204513E+00   0.175659E+04
   0.209646E+00   0.165297E+04
   0.214780E+00   0.156158E+04
   0.219913E+00   0.148539E+04
   0.225046E+00   0.142429E+04
   0.230179E+00   0.137534E+04
   0.235312E+00   0.133399E+04
   0.240446E+00   0.129545E+04
   0.245579E+00   0.125577E+04
   0.250712E+00   0.121261E+04
   0.255845E+00   0.116569E+04
   0.260978E+00   0.111638E+04
   0.266111E+00   0.106696E+04
   0.271245E+00   0.101975E+04
   0.276378E+00   0.976605E+03
   0.281511E+00   0.938602E+03
   0.286644E+00   0.905851E+03
   0.291777E+00   0.877550E+03
   0.296910E+00   0.852300E+03
   0.302044E+00   0.828565E+03
   0.307177E+00   0.805080E+03
   0.312310E+00   0.781060E+03
   0.317443E+00   0.756244E+03
   0.322576E+00   0.730859E+03
   0.327710E+00   0.705529E+03
   0.332843E+00   0.681044E+03
   0.337976E+00   0.658061E+03
   0.343109E+00   0.636913E+03
   0.348242E+00   0.617640E+03
   0.353375E+00   0.600079E+03
   0.358509E+00   0.583901E+03
   0.363642E+00   0.568639E+03
   0.368775E+00   0.553817E+03
   0.373908E+00   0.539116E+03
   0.379041E+00   0.524422E+03
   0.384174E+00   0.509765E+03
   0.389308E+00   0.495284E+03
   0.394441E+00   0.481170E+03
   0.399574E+00   0.467635E+03
   0.404707E+00   0.454825E+03
   0.409840E+00   0.442786E+03
   0.414974E+00   0.431476E+03
   0.420107E+00   0.420803E+03
   0.425240E+00   0.410634E+03
   0.430373E+00   0.400826E+03
   0.435506E+00   0.391255E+03
   0.440639E+00   0.381850E+03
   0.445773E+00   0.372597E+03
   0.450906E+00   0.363518E+03
   0.456039E+00   0.354657E+03
   0.461172E+00   0.346069E+03
   0.466305E+00   0.337812E+03
   0.471439E+00   0.329909E+03
   0.476572E+00   0.322349E+03
   0.481705E+00   0.315103E+03
   0.486838E+00   0.308138E+03
   0.491971E+00   0.301417E+03
   0.497104E+00   0.294889E+03
   0.502238E+00   0.288515E+03
   0.507371E+00   0.282281E+03
   0.512504E+00   0.276193E+03
   0.517637E+00   0.270259E+03
   0.522770E+00   0.264480E+03
   0.527903E+00   0.258872E+03
   0.533037E+00   0.253448E+03
   0.538170E+00   0.248212E+03
   0.543303E+00   0.243150E+03
   0.548436E+00   0.238245E+03
   0.553569E+00   0.233491E+03
   0.558703E+00   0.228875E+03
   0.563836E+00   0.224379E+03
   0.568969E+00   0.219989E+03
   0.574102E+00   0.215703E+03
   0.579235E+00   0.211526E+03
   0.584368E+00   0.207454E+03
   0.589502E+00   0.203485E+03
   0.594635E+00   0.199623E+03
   0.599768E+00   0.195870E+03
   0.618797E+00   0.182851E+03
   0.639771E+00   0.169847E+03
   0.661456E+00   0.157698E+03
   0.683876E+00   0.146396E+03
   0.707056E+00   0.135864E+03
   0.731022E+00   0.126051E+03
   0.755800E+00   0.116921E+03
   0.781418E+00   0.108420E+03
   0.807904E+00   0.100511E+03
   0.835288E+00   0.931539E+02
   0.863600E+00   0.863146E+02
   0.892872E+00   0.799586E+02
   0.923137E+00   0.740514E+02
   0.954426E+00   0.685659E+02
   0.986777E+00   0.634704E+02
   0.102022E+01   0.587404E+02
   0.105480E+01   0.543492E+02
   0.109056E+01   0.502759E+02
   0.112752E+01   0.464972E+02
   0.116574E+01   0.429934E+02
   0.120525E+01   0.397454E+02
   0.124610E+01   0.367349E+02
   0.128834E+01   0.339449E+02
   0.133201E+01   0.313604E+02
   0.137716E+01   0.289667E+02
   0.142384E+01   0.267505E+02
   0.147210E+01   0.246991E+02
   0.152200E+01   0.228004E+02
   0.157358E+01   0.210438E+02
   0.162692E+01   0.194188E+02
   0.168206E+01   0.179161E+02
   0.173908E+01   0.165265E+02
   0.179802E+01   0.152419E+02
   0.185897E+01   0.140548E+02
   0.192198E+01   0.129579E+02
   0.198712E+01   0.119445E+02
   0.205448E+01   0.110085E+02
   0.212411E+01   0.101441E+02
   0.219611E+01   0.934602E+01
   0.227055E+01   0.860934E+01
   0.234751E+01   0.792945E+01
   0.242708E+01   0.730214E+01
   0.250935E+01   0.672341E+01
   0.259440E+01   0.618959E+01
   0.268234E+01   0.569726E+01
   0.277325E+01   0.524332E+01
   0.286726E+01   0.482482E+01
   0.296444E+01   0.443912E+01
   0.306492E+01   0.408361E+01
   0.316881E+01   0.375608E+01
   0.327621E+01   0.345432E+01
   0.338726E+01   0.317637E+01
   0.350207E+01   0.292038E+01
   0.362078E+01   0.268468E+01
   0.374350E+01   0.246767E+01
   0.387039E+01   0.226790E+01
   0.400158E+01   0.208404E+01
   0.413721E+01   0.191484E+01
   0.427744E+01   0.175916E+01
   0.442243E+01   0.161593E+01
   0.457232E+01   0.148418E+01
   0.472730E+01   0.136301E+01
   0.488754E+01   0.125159E+01
   0.505320E+01   0.114914E+01
   0.522448E+01   0.105495E+01
   0.540156E+01   0.968366E+00
   0.558465E+01   0.888796E+00
   0.577394E+01   0.815668E+00
   0.596965E+01   0.748474E+00
   0.617199E+01   0.686738E+00
   0.638120E+01   0.630027E+00
   0.659748E+01   0.577942E+00
   0.682111E+01   0.530104E+00
   0.705231E+01   0.486176E+00
   0.729135E+01   0.445842E+00
   0.753849E+01   0.408813E+00
   0.779401E+01   0.374822E+00
   0.805818E+01   0.343622E+00
   0.833132E+01   0.314990E+00
   0.861371E+01   0.288715E+00
   0.890567E+01   0.264605E+00
   0.920753E+01   0.242487E+00
   0.951962E+01   0.222196E+00
   0.984229E+01   0.203584E+00
   0.101759E+02   0.186514E+00
   0.105208E+02   0.170860E+00
   0.108774E+02   0.156506E+00
   0.112461E+02   0.143345E+00
   0.116273E+02   0.131279E+00
   0.120214E+02   0.120218E+00
   0.124289E+02   0.110079E+00
   0.128501E+02   0.100787E+00
   0.132857E+02   0.922713E-01
   0.137360E+02   0.844681E-01
   0.142016E+02   0.773185E-01
   0.146830E+02   0.707680E-01
   0.151807E+02   0.647671E-01
   0.156952E+02   0.592706E-01
   0.162272E+02   0.542357E-01
   0.167772E+02   0.496248E-01
   0.173459E+02   0.454023E-01
   0.179338E+02   0.415358E-01
   0.185417E+02   0.379955E-01
   0.191702E+02   0.347544E-01
   0.198199E+02   0.317871E-01
   0.204917E+02   0.290710E-01
   0.211863E+02   0.265848E-01
   0.219044E+02   0.243096E-01
   0.226469E+02   0.222272E-01
   0.234145E+02   0.203217E-01
   0.242081E+02   0.185782E-01
   0.250287E+02   0.169828E-01
   0.258770E+02   0.155234E-01
   0.267541E+02   0.141882E-01
   0.276610E+02   0.129670E-01
   0.285985E+02   0.118499E-01
   0.295679E+02   0.108283E-01
   0.305701E+02   0.989396E-02
   0.316063E+02   0.903954E-02
   0.326776E+02   0.825827E-02
   0.337852E+02   0.754397E-02
   0.349303E+02   0.689085E-02
   0.361143E+02   0.629384E-02
   0.373384E+02   0.574808E-02
   0.386040E+02   0.524921E-02
   0.399125E+02   0.479323E-02
   0.412653E+02   0.437651E-02
   0.426640E+02   0.399569E-02
   0.441101E+02   0.364769E-02
   0.456052E+02   0.332972E-02
   0.471510E+02   0.303919E-02
   0.487492E+02   0.277377E-02
   0.504016E+02   0.253128E-02
   0.521099E+02   0.230980E-02
   0.538762E+02   0.210747E-02
   0.557023E+02   0.192269E-02
   0.575904E+02   0.175393E-02
   0.595424E+02   0.159982E-02
   0.615606E+02   0.145908E-02
   0.636472E+02   0.133059E-02
   0.658045E+02   0.121327E-02
   0.680350E+02   0.110617E-02
   0.703410E+02   0.100839E-02
   0.727253E+02   0.919147E-03
   0.751903E+02   0.837694E-03
   0.777389E+02   0.763355E-03
   0.803738E+02   0.695510E-03
   0.830981E+02   0.633608E-03
   0.859147E+02   0.577125E-03
   0.888267E+02   0.525592E-03
   0.918377E+02   0.478583E-03
   0.949505E+02   0.435699E-03
   0.981688E+02   0.396591E-03
   0.101496E+03   0.360922E-03
   0.104937E+03   0.328394E-03
   0.108493E+03   0.298739E-03
   0.112171E+03   0.271701E-03
   0.115973E+03   0.247053E-03
   0.119904E+03   0.224589E-03
   0.123968E+03   0.204115E-03
   0.128170E+03   0.185461E-03
   0.132514E+03   0.168462E-03
   0.137006E+03   0.152979E-03
   0.141649E+03   0.138875E-03
   0.146451E+03   0.126033E-03
   0.151415E+03   0.114338E-03
   0.156547E+03   0.103693E-03
   0.161853E+03   0.940055E-04
   0.167339E+03   0.851886E-04
   0.173011E+03   0.771677E-04
   0.178875E+03   0.698732E-04
   0.184938E+03   0.632396E-04
   0.191207E+03   0.572095E-04
   0.197688E+03   0.517296E-04
   0.204388E+03   0.467508E-04
